Name,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,GroupedPosition
A. Al Shahrani,1,1,69,51,58,62,32,52,57,55,39,61,37,63,47,54,60,60,69,69,72,50,76,50,57,58,51,44,48,28,51,56,53,51,30,33,34,10,6,15,13,14,MF
J. Kristoffersen,1,1,46,55,50,53,32,67,42,59,71,54,42,53,40,52,50,57,54,39,49,59,35,57,34,62,79,48,53,18,60,54,50,53,40,23,23,8,7,14,5,7,FW
T. Ernst,1,1,59,57,49,56,27,59,10,8,10,22,8,10,10,10,32,21,31,20,26,51,60,37,61,24,54,8,27,21,5,35,10,43,10,13,11,59,57,49,59,56,GK
K. Szymański,1,1,61,59,58,57,24,56,18,11,16,25,7,9,14,12,14,23,20,30,31,51,25,44,39,23,68,8,26,18,10,41,17,47,21,15,14,61,59,58,56,57,GK
M. Bozan,1,1,61,56,61,60,19,53,13,8,11,21,5,6,14,13,20,18,18,21,23,51,27,46,38,28,57,6,27,10,7,31,13,29,5,10,13,61,56,61,53,60,GK
L. Bogarde,0,2,55,44,52,59,57,58,50,42,59,58,41,58,50,43,56,61,63,49,57,58,64,56,60,52,58,38,67,53,38,43,55,49,54,60,61,9,10,11,13,10,DF
J. Cooper-Love,1,1,64,58,50,59,29,53,40,61,50,58,52,58,43,40,46,60,63,65,60,55,72,58,56,55,57,52,42,22,60,52,54,47,20,34,36,10,6,14,13,12,FW
A. Konté,1,0,81,43,51,65,35,40,55,40,30,52,39,64,47,34,50,60,80,82,90,44,90,51,35,50,38,39,36,35,52,53,42,50,30,40,38,14,12,6,13,13,MF
L. Soto,1,1,64,56,51,64,55,67,48,54,31,55,37,63,41,36,51,65,63,64,65,55,70,65,59,65,72,59,58,59,57,54,47,63,56,59,56,13,10,10,6,7,MF
J. Franco,1,1,59,32,45,45,59,60,32,27,57,55,26,41,33,34,46,43,55,62,56,49,67,49,55,59,60,25,60,53,31,44,39,41,63,62,56,13,6,7,9,11,DF
C. Webster,1,1,66,54,59,65,47,50,50,52,43,63,46,65,57,59,62,62,69,64,88,52,47,58,51,50,51,56,47,44,51,61,52,66,43,53,47,5,10,13,8,7,MF
C. Harries,1,2,64,34,51,53,57,63,52,33,57,55,42,51,55,40,52,53,67,61,58,53,53,38,65,54,71,29,52,57,33,45,33,57,56,59,58,7,14,13,12,15,DF
Wu Guichao,2,1,76,44,51,62,42,42,52,44,43,56,38,62,43,35,47,56,68,82,80,56,85,46,69,48,31,40,57,42,56,52,44,40,44,38,42,10,9,15,7,13,MF
A. Lohikangas,1,1,66,32,46,56,52,59,50,33,45,52,28,55,35,30,41,56,67,65,62,55,65,30,63,66,56,31,55,54,47,41,33,38,51,54,54,6,8,7,12,5,DF
A. Kemlein,1,1,64,47,56,56,56,59,49,40,57,63,44,58,48,44,59,56,64,64,56,56,57,62,60,60,60,44,57,50,55,55,50,42,53,62,59,9,8,14,14,8,MF
A. Long,0,2,54,29,43,47,57,65,35,24,54,52,24,45,29,29,48,48,55,54,46,53,58,42,72,55,74,25,52,56,29,40,48,50,58,58,56,13,13,7,11,7,DF
Hwang Jae Won,1,1,66,34,41,54,55,62,56,35,45,39,31,58,42,32,29,50,61,70,48,53,59,30,45,72,58,32,62,59,56,38,35,46,55,56,51,11,14,8,9,12,DF
P. Halder,1,1,47,47,50,51,56,73,38,39,56,57,45,51,47,46,55,50,49,45,57,54,56,57,64,67,75,56,76,56,49,49,41,46,59,55,53,6,8,14,7,6,DF
A. Ademi,2,1,80,53,41,68,26,53,41,58,31,41,43,71,64,36,38,67,81,80,76,41,72,57,51,62,56,46,33,26,42,41,45,46,23,29,22,11,7,11,10,10,FW
J. Brindell-South,1,2,66,28,47,48,53,60,57,30,42,55,28,44,37,33,36,48,68,64,63,52,65,23,58,73,61,22,43,55,50,36,36,41,53,56,53,6,8,8,14,16,DF
C. Thiam,1,1,64,30,39,39,56,67,38,22,61,49,28,28,24,23,42,49,60,68,44,55,46,41,64,65,72,37,59,55,30,29,35,45,51,60,54,9,5,14,7,7,DF
Miguel Muñoz,2,1,61,31,48,43,60,58,59,27,53,52,28,42,35,32,55,41,56,65,39,48,64,44,74,65,60,28,42,55,26,33,40,53,57,67,66,11,14,13,10,13,DF
F. Marschall,1,1,58,56,61,59,20,57,10,6,14,26,9,8,12,11,29,18,17,24,25,47,21,46,34,17,59,9,22,12,4,42,18,38,10,11,13,58,56,61,57,59,GK
M. Oxborrow,1,1,62,49,60,60,53,62,59,46,48,62,38,59,61,62,61,59,59,65,65,54,64,59,58,66,63,49,55,57,52,58,50,58,50,54,54,8,10,7,6,12,MF
M. Romero,1,1,63,55,44,60,19,56,27,62,60,53,41,60,30,27,55,59,63,63,60,65,72,44,71,55,65,52,30,16,57,44,65,45,12,17,12,10,12,12,14,13,FW
Gao Jiarun,0,2,71,38,47,57,56,70,34,30,53,50,30,60,35,30,50,50,70,72,63,55,65,50,65,68,76,40,59,63,60,60,40,55,60,50,49,8,12,16,12,8,DF
T. Stenshagen,1,1,61,34,45,44,58,65,47,31,53,55,32,39,31,31,49,47,64,58,47,52,56,45,72,66,68,32,52,58,28,28,42,39,57,60,57,6,13,6,14,11,DF
O. Jensen,1,1,70,52,52,59,45,56,49,51,48,58,45,58,48,41,50,59,71,70,64,54,65,60,62,55,58,49,49,42,54,50,42,57,43,47,45,12,15,8,8,15,MF
A. Griger,1,1,66,58,44,56,18,57,35,60,51,46,49,56,45,31,40,57,62,69,61,53,39,63,66,48,71,50,30,15,58,57,58,56,16,12,14,13,7,7,10,14,FW
A. Devine,1,1,65,43,50,55,52,61,55,43,42,54,43,56,50,31,39,52,62,68,66,54,54,49,62,68,58,39,57,52,49,51,35,44,50,57,55,8,11,10,5,9,DF
F. Al Tryes,1,1,75,45,51,63,32,40,58,48,45,54,43,60,43,36,48,62,77,73,82,47,85,45,39,54,37,35,31,23,51,48,48,43,44,23,25,5,10,12,14,8,MF
A. Loubongo-M'Boungou,1,1,72,49,50,64,24,38,56,54,32,55,45,64,49,33,39,60,73,71,81,49,83,48,41,53,36,38,24,20,54,47,47,53,23,25,19,8,14,13,12,15,MF
V. Backman,1,1,75,47,54,65,38,50,50,49,41,59,41,61,41,41,56,63,79,71,82,59,89,50,62,56,46,39,51,24,55,55,43,56,37,45,48,14,6,12,9,13,MF
O. Nkambadio,1,1,59,54,53,60,30,54,13,8,11,28,5,8,10,14,25,16,31,28,39,57,41,40,59,20,47,5,20,11,5,39,17,36,6,10,14,59,54,53,54,60,GK
Y. Al Mozairib,1,2,72,54,48,62,37,60,42,56,54,52,46,62,37,41,44,63,71,73,68,53,65,50,69,76,59,52,39,31,57,54,55,53,37,34,37,8,12,10,13,7,FW
A. Al Jamaan,2,1,91,48,47,58,43,55,54,48,36,45,39,60,46,40,42,53,90,92,76,42,71,50,60,63,59,47,36,42,53,50,50,43,41,48,44,6,13,11,14,7,MF
E. Dick,1,1,55,60,58,55,36,58,9,10,20,30,10,10,14,11,34,10,40,30,32,52,24,44,53,25,75,10,35,12,5,52,11,30,14,25,20,55,60,58,58,55,GK
F. Palazzino,1,1,79,54,53,59,36,48,54,56,44,56,47,58,58,54,46,53,82,77,75,57,85,61,48,59,44,44,46,36,52,49,57,56,32,39,32,13,9,14,10,12,MF
A. Wichne,1,1,59,56,60,61,45,56,22,14,14,35,15,15,17,15,34,19,46,44,42,48,50,45,64,28,56,15,24,17,10,42,20,38,17,18,18,59,56,60,56,61,GK
L. Collins,1,1,82,56,50,61,39,49,41,58,48,55,51,61,52,50,46,58,82,82,70,57,69,54,60,49,53,58,36,43,57,52,50,57,33,40,37,5,12,8,13,10,MF
N. Korzeniecki,1,1,66,51,52,56,56,59,41,44,52,61,35,54,44,49,55,59,63,68,58,55,61,66,65,46,64,60,61,57,39,47,46,47,55,56,57,14,6,13,6,15,DF
L. McGing,1,2,51,26,38,41,58,67,24,22,56,52,21,33,21,22,44,48,59,44,44,56,51,38,75,66,72,23,54,59,29,33,37,48,59,57,53,8,12,9,8,13,DF
F. Rosales,1,1,58,61,62,59,27,55,13,7,16,27,9,6,13,15,28,16,26,28,35,45,47,47,61,22,42,8,26,7,6,29,17,36,8,15,15,58,61,62,55,59,GK
T. Dickinson,1,1,59,56,54,60,23,53,14,6,10,19,5,9,14,13,23,19,24,22,36,58,46,41,73,16,49,7,45,13,5,30,11,34,8,12,10,59,56,54,53,60,GK
S. Cissé,1,1,81,56,49,64,19,38,41,64,42,59,59,63,52,48,38,60,79,83,77,51,85,48,45,48,37,41,25,13,63,48,59,54,22,12,16,12,13,11,11,11,MF
R. Scott,1,1,59,58,57,61,16,60,10,8,12,29,7,9,12,10,24,11,14,20,23,38,30,43,37,23,61,7,15,7,5,39,14,36,8,13,11,59,58,57,60,61,GK
L. Fortin,1,1,62,56,54,60,20,49,9,5,12,14,6,9,14,10,26,14,18,22,29,57,30,41,51,17,56,12,20,12,3,28,12,30,9,15,12,62,56,54,49,60,GK
A. Bol,1,1,62,29,38,48,57,66,28,22,60,45,26,44,28,29,47,49,63,61,52,54,59,46,59,63,67,28,67,55,31,32,35,56,56,57,56,14,12,12,6,9,DF
S. Todd,0,1,37,26,41,41,55,73,22,20,59,54,28,38,24,23,50,42,34,39,34,52,52,40,77,70,77,21,64,54,25,38,33,59,52,57,55,13,6,7,10,6,DF
G. Colli,1,1,70,52,59,59,50,62,58,48,40,61,45,56,63,64,58,58,72,68,71,56,71,58,60,67,62,57,58,50,54,57,52,55,49,54,51,13,8,8,6,11,MF
C. Johnston,1,1,73,47,54,60,53,61,51,45,43,58,39,57,48,38,53,57,74,72,79,53,81,47,51,66,68,49,41,51,53,54,52,55,55,55,52,15,15,10,14,14,MF
O. McEntee,1,1,59,31,40,46,57,68,36,29,59,48,29,46,31,30,41,43,55,62,46,53,54,42,63,62,76,23,56,55,35,36,41,50,57,58,57,13,14,12,10,9,DF
J. Martin,1,1,61,57,55,58,42,56,52,58,56,58,52,58,56,53,55,58,56,65,62,51,62,59,57,69,54,54,45,40,57,52,52,55,42,39,38,9,7,12,10,6,MF
M. Jonathans,1,1,59,56,58,60,21,43,57,57,30,60,54,61,59,51,59,61,59,59,61,55,66,56,37,49,37,57,50,21,54,54,49,50,24,16,14,15,10,14,9,5,MF
J. de Boer,1,1,58,57,57,55,18,59,14,7,13,29,9,9,12,10,28,18,18,19,22,51,27,43,38,21,75,9,27,13,5,26,13,30,8,10,10,58,57,57,59,55,GK
Bernardo Vilar,1,1,64,24,37,45,58,64,28,16,55,46,28,35,32,28,40,57,62,65,45,52,49,38,70,57,71,22,54,56,29,31,32,52,58,62,54,7,9,9,9,13,DF
M. Stajduhar,1,1,59,54,58,60,33,55,13,15,14,28,15,13,12,14,20,14,35,31,29,53,34,44,45,26,59,17,17,18,18,25,12,36,6,10,10,59,54,58,55,60,GK
K. Phillips,0,2,52,52,56,57,55,68,50,50,55,59,43,57,54,44,54,59,54,50,53,62,50,56,68,52,79,56,61,60,58,60,46,58,58,53,44,7,11,14,6,14,MF
K. Grozos,1,1,68,50,54,58,54,57,46,54,45,65,40,57,38,34,60,60,66,69,59,55,66,52,70,61,60,45,39,53,53,48,42,52,55,56,51,6,14,15,6,10,MF
Lee Bum Young,1,1,58,57,55,58,39,56,13,13,14,32,10,14,13,9,32,16,38,40,25,58,51,41,60,21,72,13,23,21,15,41,16,59,15,17,16,58,57,55,56,58,GK
S. Spalluto,1,1,61,59,42,56,23,58,36,58,57,46,54,55,60,39,32,59,59,63,64,56,54,63,63,61,59,57,51,20,58,46,60,42,18,22,17,9,14,12,13,10,FW
G. Mina,1,1,67,32,49,47,59,61,51,29,60,58,31,45,29,35,55,48,66,67,55,51,50,38,62,66,65,25,45,60,43,33,47,45,61,56,55,7,15,13,7,8,DF
Z. Bailey,1,1,64,39,52,54,54,52,58,23,40,58,26,54,50,35,51,45,68,61,74,53,83,55,64,60,46,60,54,57,53,39,36,39,51,59,57,12,14,13,7,10,DF
J. Dirksen,1,1,58,31,44,51,59,56,27,26,55,60,27,59,31,32,59,40,63,54,43,53,58,48,69,54,57,23,52,56,24,30,45,47,54,68,61,13,13,8,7,8,DF
B. McCormack,1,1,67,51,57,60,51,54,57,54,56,59,44,59,56,51,55,58,66,68,72,50,74,53,62,63,52,44,46,49,55,59,50,58,51,51,50,6,8,14,13,8,MF
K. van Dorp,1,1,61,56,55,59,25,52,10,9,10,17,9,14,12,11,15,11,25,25,27,54,31,41,44,22,57,8,24,12,4,23,17,37,7,12,12,61,56,55,52,59,GK
M. Fredes,1,1,68,50,51,60,25,39,52,53,33,57,38,60,38,38,45,58,69,68,63,53,82,54,46,54,35,41,26,19,58,49,44,47,29,23,26,14,12,8,6,11,MF
K. ElMedkhar,2,0,63,55,48,62,26,53,45,59,31,48,50,63,66,45,43,59,65,62,63,59,63,60,44,55,63,42,29,23,65,52,49,64,25,28,24,9,10,9,8,10,MF
A. Bakhat,1,1,67,45,60,63,44,52,52,39,39,66,44,62,50,45,63,60,69,66,75,55,74,56,53,53,54,44,43,45,49,60,49,56,39,48,47,15,14,7,6,11,MF
Q. Lajami,0,1,68,26,43,46,57,69,45,24,55,47,27,41,30,35,45,42,69,68,67,52,73,30,72,69,75,23,54,57,40,36,31,46,55,58,58,11,14,14,12,9,DF
G. Borrelli,1,0,52,57,36,52,24,63,26,61,66,44,50,53,28,23,31,53,48,55,49,49,56,58,62,44,80,48,44,21,66,41,55,45,18,20,15,12,14,7,7,14,FW
D. Salihovic,1,1,67,40,55,59,51,61,47,39,48,62,33,57,34,38,59,60,65,68,71,56,72,44,69,66,60,40,57,56,56,55,33,46,45,56,50,8,9,12,7,7,MF
C. Chukwuemeka,1,0,83,54,47,59,17,61,44,56,46,53,46,60,40,33,41,58,86,80,69,45,59,54,66,64,71,52,29,16,55,49,57,52,17,10,15,10,12,13,10,11,FW
L. Knöferl,1,1,67,46,54,62,30,51,47,52,39,63,36,57,40,38,54,66,66,68,78,52,75,41,52,55,55,41,35,29,48,55,40,51,31,25,38,10,10,12,14,6,MF
J. Nickisch,1,1,62,57,56,62,26,55,15,8,12,28,7,9,13,11,26,12,21,33,25,44,38,42,62,25,48,9,15,12,7,38,12,33,10,12,11,62,57,56,55,62,GK
J. Urbig,1,1,58,60,55,60,32,57,10,5,13,23,8,6,12,12,28,12,31,33,30,42,36,41,59,24,51,5,27,14,8,35,15,37,8,14,10,58,60,55,57,60,GK
A. O'Driscoll,1,1,51,33,48,53,57,66,39,29,56,56,34,52,38,37,54,53,53,50,56,53,51,48,63,64,69,25,61,57,31,44,35,58,58,58,56,12,12,14,5,12,DF
J. Chalá,1,1,53,60,54,58,26,50,55,66,61,58,56,58,35,55,58,61,55,51,57,51,55,58,61,54,56,51,27,23,51,49,67,47,22,23,22,11,5,11,7,13,FW
Zhu Ting,1,0,42,50,56,60,55,63,54,46,54,62,51,62,61,45,56,63,52,34,34,73,52,51,56,56,70,53,58,54,59,51,50,66,54,58,56,8,15,12,9,13,MF
M. Pingot,1,2,58,32,44,46,57,67,28,28,55,54,39,38,35,33,61,55,61,56,44,50,61,44,52,64,73,25,58,57,32,33,44,48,57,59,56,8,14,7,12,5,DF
C. Dibble,1,1,59,56,57,58,40,58,14,17,11,25,20,24,19,12,24,23,38,43,38,54,42,43,66,42,81,20,34,19,12,15,24,35,20,16,20,59,56,57,58,58,GK
K. Fayad,1,1,65,51,60,70,40,40,53,50,44,67,48,73,54,46,64,68,66,65,63,52,84,58,52,46,35,48,41,28,52,56,52,63,40,47,40,12,8,8,10,15,MF
E. Dzogovic,1,1,66,28,51,56,54,63,58,24,56,55,30,55,40,32,48,55,66,66,70,52,64,33,71,63,67,28,51,52,44,48,34,47,52,55,55,14,7,11,12,9,DF
N. Vukancic,1,1,55,34,43,46,57,65,32,35,55,54,31,39,29,31,49,50,55,55,55,57,60,38,72,63,70,30,55,54,30,37,40,46,55,61,55,12,8,6,6,9,DF
Kim Keun Bae,1,1,60,57,57,59,42,56,12,11,11,32,11,12,10,13,33,15,40,44,42,51,56,43,53,45,60,13,31,24,12,32,12,43,15,14,12,60,57,57,56,59,GK
H. Valdimarsson,1,1,57,57,57,58,19,60,15,9,10,40,18,13,29,10,42,19,20,18,32,53,44,43,41,35,50,16,26,8,7,34,12,32,12,10,11,57,57,57,60,58,GK
D. Martínez,1,1,68,50,56,61,55,50,59,55,54,60,42,58,49,40,58,61,69,68,72,57,65,50,58,34,57,43,48,46,51,49,44,57,56,58,57,13,13,7,12,11,DF
L. Walta,1,1,68,42,58,62,46,48,41,40,36,68,38,60,42,37,61,62,71,65,70,55,74,50,55,51,48,35,43,42,57,65,48,63,50,49,43,5,13,6,14,6,MF
M. Sánchez,1,1,62,60,53,59,35,54,49,63,59,55,49,57,44,58,45,58,61,62,64,58,70,55,60,54,56,60,45,28,57,60,60,53,33,35,33,10,6,7,10,13,FW
F. Benítez,1,1,62,62,63,59,32,54,14,12,10,17,11,9,12,11,16,15,34,29,32,35,53,47,58,30,54,13,28,10,5,29,16,30,9,14,14,62,62,63,54,59,GK
P. Judd,2,1,66,59,41,52,20,66,32,60,60,44,57,50,42,28,38,53,63,68,56,53,48,63,64,63,73,52,51,15,60,48,61,50,18,12,18,14,9,13,14,7,FW
Christian Marques,0,1,51,37,52,48,59,62,47,34,51,54,33,45,42,39,53,50,49,52,47,54,52,41,68,55,67,39,56,58,40,59,46,63,60,60,59,15,15,7,11,7,DF
S. Diallo,1,1,62,53,56,60,55,71,45,53,47,61,44,59,52,44,60,61,63,61,66,57,64,64,63,60,82,49,60,55,48,57,39,54,55,56,55,15,8,10,5,9,MF
F. Bohman,1,1,55,60,42,54,18,56,29,63,62,50,51,54,33,45,34,56,56,55,54,55,54,60,60,54,67,57,30,14,55,48,60,43,12,14,11,13,11,11,12,12,FW
M. Bojang,1,0,73,58,51,54,24,56,47,61,63,55,47,54,50,44,49,53,69,77,58,55,53,57,69,69,52,56,48,16,56,49,59,50,17,23,22,12,11,15,14,11,FW
E. Baggott,1,2,58,24,33,41,58,69,26,22,56,41,20,35,28,29,33,47,62,55,40,51,35,30,66,62,81,18,50,56,25,28,38,53,58,59,58,8,8,5,11,7,DF
S. Marrone,1,1,67,40,58,60,51,57,63,39,58,60,40,60,58,48,59,59,68,67,72,48,69,46,57,58,59,31,50,48,49,52,46,53,49,52,55,12,7,12,13,10,MF
T. Sang,1,1,65,45,56,61,60,65,54,41,54,61,44,58,56,45,58,64,64,66,69,62,53,54,67,65,66,45,60,60,51,50,39,54,57,63,61,8,6,12,10,9,MF
A. Llugiqi,1,0,65,58,39,55,19,64,30,62,55,47,44,55,38,28,28,57,62,67,52,57,51,62,58,55,74,53,52,10,51,44,55,42,14,17,18,12,8,9,13,9,FW
Zhang Yuan,1,1,73,45,53,62,54,65,40,42,65,57,41,64,44,50,56,57,70,76,78,64,59,55,70,67,67,40,54,53,64,61,44,48,55,53,45,12,12,10,13,9,MF
R. Thorkelsson,1,1,64,24,42,50,56,63,28,20,58,56,29,50,32,25,54,50,62,66,48,50,55,36,66,54,69,16,58,56,30,30,34,48,55,58,55,13,10,14,8,7,DF
E. Acevedo,1,1,54,54,58,57,57,57,55,56,55,62,35,58,48,55,60,55,55,54,55,61,53,47,62,55,57,57,57,55,55,57,61,56,56,59,58,11,6,6,14,12,MF
P. Zovko,1,1,55,59,60,66,21,55,12,6,11,19,6,7,14,10,17,10,23,17,28,42,29,45,33,23,56,6,17,7,8,32,18,39,6,10,13,55,59,60,55,66,GK
Y. Bahadir,1,1,64,29,44,57,54,51,54,29,44,48,23,54,30,28,39,57,69,60,67,56,69,29,61,53,48,24,52,55,47,40,33,56,47,62,58,7,10,11,13,13,DF
G. Olzer,1,1,52,56,56,61,32,60,50,50,46,58,52,61,62,56,54,63,54,51,65,58,57,68,34,54,71,60,48,28,56,60,58,56,26,34,34,6,12,9,12,12,MF
E. Achahuanco,1,1,71,41,52,54,52,57,58,40,51,56,22,52,35,44,55,55,70,71,65,42,66,42,67,68,55,41,44,46,55,45,41,44,48,58,56,9,10,14,11,11,DF
C. Taylor,0,1,57,35,39,42,58,63,30,30,61,51,26,37,36,24,45,46,53,61,38,53,57,52,69,50,73,28,55,55,36,26,38,48,59,58,56,11,5,7,12,7,DF
O. Opsahl,2,1,73,39,51,57,52,58,56,35,45,53,34,53,52,42,46,56,73,73,74,52,75,52,68,65,56,33,52,50,46,46,35,48,52,54,52,6,9,15,10,7,DF
J. Wakely,1,1,53,35,42,40,58,64,33,29,59,49,35,36,34,30,52,41,51,54,39,47,51,51,55,54,73,36,55,59,28,35,35,50,56,59,58,9,5,8,13,14,DF
H. Al Sibyani,1,1,76,23,43,56,52,67,52,21,42,47,20,53,32,30,41,54,72,79,75,50,74,21,66,61,64,23,80,53,49,33,35,41,52,54,56,13,8,15,8,15,DF
I. Pandita,2,0,70,57,48,55,23,62,49,59,55,46,56,53,48,53,41,56,67,72,66,54,53,54,73,67,70,53,35,12,60,52,59,50,30,14,17,8,11,5,12,6,FW
A. Musayev,2,1,76,52,53,62,26,53,58,54,33,60,46,62,54,25,45,58,78,74,76,42,82,59,66,73,46,50,44,22,46,50,34,49,16,37,24,11,5,11,13,11,MF
W. Wright,1,1,69,46,46,48,56,59,52,42,59,49,26,47,55,53,41,49,65,72,50,49,55,56,64,62,61,48,50,50,42,32,60,38,56,59,59,14,6,5,7,14,DF
R. Seweryś,1,1,65,27,37,52,57,66,32,21,53,41,29,51,33,28,39,55,68,63,52,49,52,39,75,58,76,23,51,54,29,35,41,44,51,65,61,11,9,13,12,7,DF
T. Aglietti,1,1,57,56,55,65,26,52,14,7,11,18,7,12,11,13,20,17,26,27,39,58,47,41,60,24,40,6,22,10,8,27,14,35,6,12,14,57,56,55,52,65,GK
M. Baltacı,1,1,53,29,35,40,58,65,28,27,55,45,25,34,28,29,36,40,52,54,50,48,51,40,70,60,65,21,68,56,25,29,52,48,57,62,60,10,13,14,15,8,DF
E. Ifoni,1,1,70,57,40,54,27,65,33,57,64,51,49,54,26,28,26,53,67,72,62,45,57,67,70,57,72,47,55,21,57,47,58,52,22,24,22,9,12,5,5,10,FW
L. Haakenson,2,1,78,54,55,54,36,55,47,57,41,62,40,52,42,41,58,49,80,76,71,54,64,57,54,45,65,50,42,21,56,56,47,53,37,40,44,6,8,7,14,11,MF
Kim Gyu Hyeong,2,1,65,55,52,60,35,48,39,56,49,60,47,59,48,41,47,59,63,66,57,60,88,60,54,52,47,49,46,27,59,60,48,52,44,27,36,9,10,12,8,15,MF
T. Roufosse,1,1,60,56,58,61,24,58,14,9,13,15,8,10,14,12,29,15,22,28,35,43,46,44,57,26,49,8,20,10,7,33,15,26,9,14,11,60,56,58,58,61,GK
M. Rivas,1,1,53,26,39,44,57,58,30,22,61,56,28,29,22,28,36,57,54,53,55,60,61,36,66,58,57,23,60,55,29,28,33,42,52,62,55,9,8,13,14,14,DF
B. Andresen,1,1,70,29,46,59,54,57,53,30,50,49,25,61,43,29,44,57,69,70,66,50,62,26,54,62,57,25,49,52,47,41,40,40,50,60,52,6,12,13,13,15,DF
K. Bąkowski,1,1,60,56,57,60,33,58,8,7,12,21,6,15,12,11,22,14,33,32,31,42,31,43,49,21,44,6,24,12,6,39,18,21,5,10,13,60,56,57,58,60,GK
M. Al Kunaydiri,1,1,74,28,49,55,53,58,54,23,48,53,24,54,35,42,48,55,75,73,59,50,71,29,60,58,60,30,51,52,47,43,39,45,52,55,54,8,14,8,12,10,DF
W. Al Shanqeeti,1,0,65,58,45,56,23,61,41,58,62,49,50,56,56,34,38,54,66,65,62,52,63,58,71,50,70,59,51,16,60,47,59,51,23,16,14,10,8,9,6,8,FW
V. Lytvynenko,1,1,59,60,52,58,24,57,11,8,10,25,5,11,14,14,21,15,27,19,26,46,29,39,35,25,74,6,20,14,7,36,16,33,9,13,10,59,60,52,57,58,GK
Mangel Ruiz,2,1,66,48,47,59,57,61,50,50,52,47,33,66,43,44,32,52,64,68,55,61,64,49,65,56,66,45,55,57,62,58,42,47,58,58,54,9,7,9,10,12,DF
P. Pagis,1,1,59,63,44,56,21,43,36,69,63,51,49,55,40,43,34,57,61,57,58,58,67,58,61,52,41,58,31,15,51,47,69,50,16,16,20,9,8,13,6,8,FW
A. Tjærandsen-Skau,1,1,72,48,58,62,51,57,55,46,50,63,38,59,54,53,60,61,71,73,77,54,77,59,69,66,53,47,54,54,50,53,42,48,47,53,50,7,15,8,11,9,MF
J. Akintunde,2,1,71,59,48,60,33,65,47,60,49,52,54,59,54,50,38,58,72,71,74,49,73,62,59,66,67,56,60,33,57,47,52,51,33,29,28,12,13,9,7,9,FW
M. Rao Dessai,1,2,77,51,51,58,48,57,56,45,42,51,45,55,60,57,49,57,78,77,75,51,82,64,36,85,50,55,46,43,62,42,35,49,51,49,51,10,9,8,14,11,DF
P. Das,2,0,76,42,50,57,50,70,55,33,51,52,46,53,51,40,42,56,73,78,77,55,80,51,58,70,64,45,86,51,56,52,51,45,46,53,51,9,8,15,14,11,DF
J. Micolta,1,1,62,28,38,45,61,55,28,28,58,54,22,36,26,25,37,50,61,63,52,60,72,36,62,62,50,20,59,65,25,27,31,45,63,58,55,7,11,7,8,7,DF
E. Shabani,1,1,65,49,55,60,54,62,44,47,56,63,47,58,49,41,62,64,64,66,60,60,66,59,60,64,59,44,65,49,52,53,50,45,51,58,55,15,9,13,5,14,MF
M. Lowe,2,1,76,56,48,58,33,64,43,58,54,52,51,56,47,38,44,55,75,76,74,55,68,56,76,67,68,52,46,27,57,50,57,55,33,32,24,11,6,9,6,13,FW
H. Diarra,1,1,55,40,54,60,54,54,40,33,56,65,35,61,41,46,56,58,55,55,67,58,66,54,56,50,53,39,62,54,43,54,51,41,51,55,59,8,12,7,7,8,MF
E. Weir,1,1,65,51,52,56,54,57,54,52,51,56,50,56,47,57,50,55,66,64,65,51,65,53,55,64,54,50,54,51,51,45,48,48,54,56,54,8,12,13,12,9,DF
D. Polvara,1,1,59,48,54,56,53,65,36,48,45,64,36,56,35,37,62,57,65,54,55,58,65,54,64,65,67,47,61,54,54,56,41,42,58,54,45,11,6,9,6,15,MF
V. Mastrantonio,1,1,66,44,59,58,51,66,51,42,54,68,38,57,47,44,57,55,64,67,66,65,69,53,63,64,68,41,62,53,45,58,52,58,48,49,57,15,14,8,14,7,MF
I. Schmidt,1,1,70,52,52,59,53,50,55,52,54,56,46,56,42,36,50,57,68,72,82,51,71,58,50,60,51,47,36,51,54,51,47,50,49,59,53,6,15,7,11,8,MF
W. Dennis,1,1,59,56,57,58,33,57,12,7,11,17,7,11,12,11,25,13,29,40,28,49,47,43,64,28,43,8,17,14,5,38,17,39,10,12,12,59,56,57,57,58,GK
Y. Al Harbi,0,1,63,37,52,60,54,62,42,33,49,57,25,60,45,30,54,58,66,60,60,55,81,44,61,57,60,36,72,56,48,58,50,49,52,56,57,13,14,14,7,15,MF
A. Lind,1,1,64,54,51,59,36,67,48,55,58,55,45,58,42,38,52,61,62,66,65,46,68,63,68,58,74,46,58,32,56,50,50,55,32,35,35,6,10,10,14,11,FW
Gao Tianyi,2,1,70,46,60,59,57,68,56,43,41,62,30,56,65,62,57,57,67,73,80,56,59,53,58,61,76,47,59,57,57,60,40,51,58,62,54,8,12,13,7,14,MF
